,Unnamed: 0,Player ID,Age Group,Gender,Skill Level,Errores No Forzados,Winners,Puntos Ganados de Remate,% Primeros Saques,% Segundos Saques,% Puntos Ganados con Primeros Saques,% Puntos Ganados con Segundos Saques,Dobles Faltas,Km Recorridos,Zonas de Calor,Puntos de Break,Puntos de Oro,Errores No Forzados de Fondo de Pista,Errores No Forzados en Red,% de Restos Fallados,Posición Preferente
1581,50185,50186,18-30,Male,Advanced,13,7,19,34,20,75,36,7,0,A,6,4,7,14,16,R
1591,48700,48701,18-30,Male,Advanced,14,8,0,38,22,91,37,3,4,A,8,29,16,6,28,D
1597,50602,50603,18-30,Male,Advanced,9,25,3,71,57,26,99,8,1,C,12,23,2,15,8,R
1604,50247,50248,18-30,Male,Advanced,16,16,19,99,50,86,15,10,0,C,9,1,0,20,26,D
1608,50325,50326,18-30,Male,Advanced,13,22,8,83,34,92,55,3,3,C,7,13,7,16,2,D
1622,53427,53428,18-30,Male,Advanced,7,12,6,97,4,62,93,4,1,B,1,26,17,19,28,D
1625,46234,46235,18-30,Male,Advanced,0,8,3,100,21,63,4,0,0,B,13,24,10,10,16,D
1626,53466,53467,18-30,Male,Advanced,15,15,11,3,6,4,74,5,2,A,3,19,1,18,6,D
1629,46204,46205,18-30,Male,Advanced,12,19,1,40,52,27,87,5,4,B,10,23,7,2,23,D
1631,53519,53520,18-30,Male,Advanced,16,2,9,69,19,26,51,8,3,A,13,31,17,8,22,R
1639,46305,46306,18-30,Male,Advanced,5,12,14,15,11,72,11,9,4,A,17,35,21,2,7,R
1654,46307,46308,18-30,Male,Advanced,20,12,19,4,45,88,17,7,1,C,15,36,21,7,19,D
1656,46443,46444,18-30,Male,Advanced,9,1,16,94,26,79,0,8,3,C,15,6,5,12,6,R
1664,45673,45674,18-30,Male,Advanced,7,25,14,40,36,30,65,3,0,B,18,2,23,9,17,D
1681,53803,53804,18-30,Male,Advanced,17,6,2,23,35,63,76,10,3,A,18,2,6,1,19,D
1691,53973,53974,18-30,Male,Advanced,9,22,13,56,1,50,88,2,2,B,11,2,17,0,23,D
1692,53687,53688,18-30,Male,Advanced,2,10,15,88,67,26,76,2,0,A,14,28,24,4,1,D
1698,52383,52384,18-30,Male,Advanced,1,19,7,32,70,74,46,2,1,B,18,2,18,2,0,R
1713,47220,47221,18-30,Male,Advanced,8,12,20,8,52,25,49,7,0,B,8,2,2,7,1,D
1718,52031,52032,18-30,Male,Advanced,0,9,17,48,39,9,85,1,2,C,3,5,0,1,26,R
1722,52121,52122,18-30,Male,Advanced,10,30,18,19,98,15,86,6,2,C,9,8,8,5,12,D
1725,52191,52192,18-30,Male,Advanced,6,19,7,34,24,80,16,7,0,A,11,36,12,17,22,D
1726,47302,47303,18-30,Male,Advanced,6,24,13,98,94,20,30,3,3,A,4,36,2,1,16,R
1727,52210,52211,18-30,Male,Advanced,15,6,15,77,45,99,98,5,4,B,7,21,9,4,12,D
1729,47044,47045,18-30,Male,Advanced,4,18,3,67,17,23,90,1,2,C,3,15,24,17,22,D
1737,52805,52806,18-30,Male,Advanced,3,21,5,97,39,8,32,6,4,B,6,10,24,2,12,R
1740,46625,46626,18-30,Male,Advanced,7,11,16,41,87,75,43,10,1,A,14,16,16,9,9,R
1747,46608,46609,18-30,Male,Advanced,7,16,9,10,18,21,20,4,0,C,12,16,9,16,8,D
1760,52550,52551,18-30,Male,Advanced,5,16,2,47,24,4,7,8,2,C,11,6,13,0,22,D
1764,46818,46819,18-30,Male,Advanced,9,29,11,53,28,66,29,4,0,A,3,34,22,20,29,D
1766,52451,52452,18-30,Male,Advanced,20,28,5,68,40,8,81,1,0,C,0,7,16,9,4,R
1773,64855,64856,18-30,Male,Advanced,3,4,17,77,32,76,97,7,2,B,10,6,21,9,12,R
1775,35283,35284,18-30,Male,Advanced,8,19,2,81,32,58,30,10,0,A,6,6,20,0,1,D
1784,64934,64935,18-30,Male,Advanced,5,6,10,38,33,7,27,5,1,A,2,11,15,8,12,D
1790,35529,35530,18-30,Male,Advanced,1,1,8,35,59,60,32,6,4,B,11,24,15,2,16,R
1791,35522,35523,18-30,Male,Advanced,6,22,9,49,96,33,90,9,0,B,5,0,0,14,14,R
1800,64608,64609,18-30,Male,Advanced,4,6,10,26,98,96,30,10,1,C,0,3,4,8,2,R
1804,35113,35114,18-30,Male,Advanced,12,10,7,76,42,15,36,9,2,B,10,2,2,14,10,R
1807,65512,65513,18-30,Male,Advanced,6,7,1,2,28,53,13,6,3,C,8,24,3,9,13,R
1812,65468,65469,18-30,Male,Advanced,6,30,3,38,44,37,61,2,1,B,5,3,1,8,4,R
1826,65163,65164,18-30,Male,Advanced,1,8,14,42,62,19,30,6,0,B,7,10,8,11,15,D
1827,65186,65187,18-30,Male,Advanced,15,19,15,41,34,69,69,9,0,A,18,23,4,5,21,D
1829,65208,65209,18-30,Male,Advanced,20,28,13,44,60,3,66,2,3,A,15,29,1,8,7,R
1845,63712,63713,18-30,Male,Advanced,7,25,5,53,65,34,80,1,2,C,16,33,18,5,29,D
1858,63637,63638,18-30,Male,Advanced,9,18,10,30,89,80,2,1,1,B,10,26,11,2,9,D
1866,36621,36622,18-30,Male,Advanced,4,1,15,23,60,44,2,8,0,B,4,30,21,9,30,R
1867,63391,63392,18-30,Male,Advanced,3,28,1,75,80,4,20,1,3,C,4,23,22,2,29,D
1887,64272,64273,18-30,Male,Advanced,0,4,16,92,10,96,80,10,2,C,10,16,23,11,29,D
1890,35692,35693,18-30,Male,Advanced,5,10,2,0,32,55,78,1,1,C,2,26,17,17,26,D
1891,64394,64395,18-30,Male,Advanced,19,7,0,59,36,48,20,5,1,C,15,13,1,9,19,R
1916,65702,65703,18-30,Male,Advanced,20,15,18,2,30,40,17,2,3,C,12,23,3,20,18,R
1938,67179,67180,18-30,Male,Advanced,1,2,15,86,43,61,60,7,1,B,16,29,18,18,11,D
1943,33085,33086,18-30,Male,Advanced,8,28,7,83,20,64,92,4,2,C,3,35,20,9,2,R
1946,67291,67292,18-30,Male,Advanced,9,12,16,36,29,46,43,10,4,B,1,31,11,12,13,D
1947,67309,67310,18-30,Male,Advanced,19,23,6,49,68,15,86,5,2,A,4,24,18,15,8,D
1955,67898,67899,18-30,Male,Advanced,2,13,3,26,88,89,45,3,2,B,1,5,1,20,27,D
1956,32498,32499,18-30,Male,Advanced,10,1,16,15,48,50,91,2,3,A,16,23,4,6,23,R
1979,32625,32626,18-30,Male,Advanced,0,24,14,81,4,34,86,10,1,A,2,28,6,9,1,D
1983,32594,32595,18-30,Male,Advanced,12,18,8,94,99,16,60,5,3,B,5,11,7,12,26,R
1984,32592,32593,18-30,Male,Advanced,15,26,8,10,34,84,80,2,3,B,11,23,7,12,26,D
1985,32567,32568,18-30,Male,Advanced,5,9,3,5,47,48,42,5,0,A,10,1,11,13,10,R
1997,66069,66070,18-30,Male,Advanced,5,9,20,94,57,16,53,7,2,B,9,21,14,5,24,R
1998,66186,66187,18-30,Male,Advanced,18,27,4,43,37,99,25,7,1,A,6,35,4,19,30,R
1999,66235,66236,18-30,Male,Advanced,7,2,4,47,61,31,56,2,0,A,4,2,14,7,1,D
2003,34050,34051,18-30,Male,Advanced,4,17,10,64,26,22,18,7,1,C,3,27,18,7,20,R
2007,34203,34204,18-30,Male,Advanced,7,21,10,10,54,16,42,9,3,B,12,24,23,9,14,R
2009,34478,34479,18-30,Male,Advanced,18,16,14,70,92,16,56,8,3,A,16,8,6,18,21,D
2016,65883,65884,18-30,Male,Advanced,20,12,1,35,28,6,90,3,4,B,10,28,3,16,26,R
2033,66891,66892,18-30,Male,Advanced,0,16,3,59,80,65,83,0,0,A,13,30,17,4,7,D
2035,33431,33432,18-30,Male,Advanced,11,28,20,92,29,62,58,1,2,A,2,2,5,8,19,D
2038,66945,66946,18-30,Male,Advanced,17,17,13,43,59,65,79,8,2,C,4,2,2,6,10,R
2040,33315,33316,18-30,Male,Advanced,16,14,3,62,49,78,42,5,1,C,10,27,13,3,5,D
2042,66912,66913,18-30,Male,Advanced,20,26,20,83,46,26,85,7,4,B,2,34,13,14,16,R
2044,66840,66841,18-30,Male,Advanced,8,28,16,22,36,21,78,0,4,A,9,20,11,6,9,R
2050,33854,33855,18-30,Male,Advanced,13,30,5,51,25,20,39,2,4,A,9,30,5,2,22,R
2059,66814,66815,18-30,Male,Advanced,12,11,1,67,53,98,62,5,4,A,7,10,19,9,12,R
2064,36709,36710,18-30,Male,Advanced,13,3,16,86,84,69,73,0,2,C,10,24,8,12,10,R
2066,60538,60539,18-30,Male,Advanced,2,2,8,38,24,32,5,4,1,B,8,36,1,7,2,R
2071,60513,60514,18-30,Male,Advanced,12,8,2,22,37,83,35,6,2,B,6,36,22,13,26,D
2072,60660,60661,18-30,Male,Advanced,0,3,12,86,7,13,47,8,1,C,9,14,22,14,12,R
2073,60691,60692,18-30,Male,Advanced,3,17,16,79,49,40,99,1,0,B,18,26,20,14,9,R
2082,39663,39664,18-30,Male,Advanced,15,21,5,71,2,47,50,4,3,A,4,8,10,3,1,D
2105,38999,39000,18-30,Male,Advanced,16,24,7,45,41,35,55,2,0,B,2,28,8,4,14,R
2114,38876,38877,18-30,Male,Advanced,12,26,1,85,50,60,32,8,4,C,0,14,16,2,26,D
2121,60844,60845,18-30,Male,Advanced,5,27,13,81,23,70,41,1,3,A,13,14,2,16,0,D
2124,60862,60863,18-30,Male,Advanced,10,11,18,70,88,43,47,3,1,A,6,34,20,5,22,R
2143,40535,40536,18-30,Male,Advanced,3,29,16,19,68,16,86,5,3,B,4,21,16,3,18,D
2144,40604,40605,18-30,Male,Advanced,5,16,19,73,57,2,56,0,4,B,18,1,5,8,23,R
2146,59448,59449,18-30,Male,Advanced,2,22,9,72,92,25,40,3,0,A,0,13,17,13,14,D
2157,40874,40875,18-30,Male,Advanced,14,14,12,74,94,18,66,9,0,C,3,22,23,16,22,D
2159,59144,59145,18-30,Male,Advanced,2,3,19,34,82,4,38,5,4,B,17,1,11,5,15,R
2160,59152,59153,18-30,Male,Advanced,7,18,0,41,32,45,80,8,1,B,11,4,0,2,6,R
2162,59217,59218,18-30,Male,Advanced,2,3,7,70,94,73,73,3,3,B,17,33,20,20,14,R
2165,59245,59246,18-30,Male,Advanced,18,5,3,45,85,92,97,0,0,A,15,17,5,15,23,R
2171,40386,40387,18-30,Male,Advanced,16,13,7,12,1,72,79,9,3,A,6,16,7,9,28,D
2172,61333,61334,18-30,Male,Advanced,18,25,14,4,87,69,99,6,0,A,12,3,1,16,29,R
2174,40357,40358,18-30,Male,Advanced,12,3,15,7,31,27,6,5,3,C,12,29,6,19,13,D
2178,59966,59967,18-30,Male,Advanced,6,6,10,34,88,5,93,7,1,C,13,31,11,16,2,R
2180,60013,60014,18-30,Male,Advanced,2,21,19,49,64,7,70,8,4,C,1,24,16,4,19,D
2181,59801,59802,18-30,Male,Advanced,5,27,4,99,50,19,33,0,3,B,18,30,14,0,21,D
2182,40025,40026,18-30,Male,Advanced,0,25,20,30,90,69,28,5,4,B,9,23,24,9,14,D
2193,40353,40354,18-30,Male,Advanced,8,5,17,94,99,39,29,2,3,B,4,30,24,7,14,R
2196,40314,40315,18-30,Male,Advanced,18,1,6,65,12,15,82,9,3,C,11,2,0,11,26,D
2215,62464,62465,18-30,Male,Advanced,1,27,14,94,64,8,93,9,2,A,4,25,15,19,15,D
2224,37431,37432,18-30,Male,Advanced,10,13,17,8,33,60,0,4,3,C,18,22,21,8,9,R
2229,62422,62423,18-30,Male,Advanced,20,17,17,82,64,35,23,2,0,B,6,34,4,6,4,R
2232,62201,62202,18-30,Male,Advanced,4,29,0,99,83,16,87,6,2,B,10,8,8,19,22,R
2234,62233,62234,18-30,Male,Advanced,20,13,19,86,37,30,29,8,0,A,5,35,8,4,22,R
2251,63077,63078,18-30,Male,Advanced,5,20,10,24,98,38,43,6,0,B,6,11,5,14,20,R
2255,63025,63026,18-30,Male,Advanced,5,0,6,12,35,51,50,1,2,C,14,17,21,18,20,D
2265,62995,62996,18-30,Male,Advanced,4,6,1,42,28,54,77,7,4,C,11,36,0,16,8,R
2277,62857,62858,18-30,Male,Advanced,6,19,12,65,63,65,72,2,1,C,8,25,3,17,23,D
2279,62902,62903,18-30,Male,Advanced,19,9,10,70,29,45,29,2,4,B,12,3,1,14,30,R
2288,61641,61642,18-30,Male,Advanced,7,1,9,2,55,48,1,7,4,A,3,28,21,8,15,R
2293,38472,38473,18-30,Male,Advanced,4,11,9,50,77,23,97,10,2,C,2,7,15,18,4,D
2307,61354,61355,18-30,Male,Advanced,5,2,7,71,44,40,28,7,3,C,2,9,3,4,2,R
2310,38698,38699,18-30,Male,Advanced,18,22,3,47,37,57,29,1,2,B,14,34,4,15,5,R
2315,61480,61481,18-30,Male,Advanced,6,8,4,68,99,87,38,0,0,C,4,22,17,9,23,R
2321,61769,61770,18-30,Male,Advanced,7,21,1,48,70,85,84,4,3,B,10,26,3,13,28,D
2322,38317,38318,18-30,Male,Advanced,14,14,11,22,96,54,42,4,1,B,15,14,13,3,18,D
2328,37972,37973,18-30,Male,Advanced,9,29,17,12,52,27,4,8,2,B,6,3,18,12,27,D
2330,37971,37972,18-30,Male,Advanced,8,26,18,56,38,97,38,2,0,A,3,22,17,13,24,R
2341,61824,61825,18-30,Male,Advanced,13,0,5,71,59,76,67,0,4,A,6,35,15,16,13,R
2344,38269,38270,18-30,Male,Advanced,0,11,19,80,0,43,45,7,0,A,18,34,3,14,28,D
2347,38204,38205,18-30,Male,Advanced,20,14,18,38,12,61,50,3,1,B,10,20,16,13,17,D
2349,38166,38167,18-30,Male,Advanced,6,15,7,7,18,85,3,8,3,B,5,10,9,1,1,D
2351,38154,38155,18-30,Male,Advanced,6,28,5,2,71,100,15,8,3,C,7,21,24,0,3,R
2354,61987,61988,18-30,Male,Advanced,19,24,8,37,71,24,34,10,4,B,0,9,22,9,20,D
2355,38108,38109,18-30,Male,Advanced,5,3,0,18,23,31,78,3,0,C,5,7,12,18,6,D
2361,5506,5507,18-30,Male,Advanced,18,9,14,96,8,67,88,4,2,B,2,28,7,8,21,R
2366,97360,97361,18-30,Male,Advanced,13,1,16,65,49,88,28,10,0,B,7,5,4,6,18,D
2371,7579,7580,18-30,Male,Advanced,0,8,0,80,14,32,91,4,2,C,15,27,2,2,19,R
2373,94983,94984,18-30,Male,Advanced,0,14,0,78,27,18,74,0,1,C,8,30,1,9,0,R
2375,92767,92768,18-30,Male,Advanced,8,26,11,60,31,7,87,8,3,B,5,32,15,0,29,D
2377,12401,12402,18-30,Male,Advanced,1,17,16,58,46,22,78,6,1,A,7,7,22,16,15,R
2386,9997,9998,18-30,Male,Advanced,11,4,19,5,4,23,68,2,1,A,0,7,1,8,0,R
2392,99264,99265,18-30,Male,Advanced,18,6,0,31,90,25,49,7,2,C,15,21,1,14,13,D
2394,5562,5563,18-30,Male,Advanced,20,13,10,87,19,96,95,4,3,A,3,25,14,6,28,R
2399,90463,90464,18-30,Male,Advanced,14,16,14,8,43,11,7,6,4,A,5,21,23,1,10,R
2409,7646,7647,18-30,Male,Advanced,19,7,9,93,4,25,66,2,2,B,17,29,17,19,4,D
2410,9776,9777,18-30,Male,Advanced,5,20,20,90,81,82,55,6,1,B,1,31,11,14,23,R
2411,719,720,18-30,Male,Advanced,15,24,18,47,100,67,50,6,1,C,17,19,17,17,14,R
2417,92692,92693,18-30,Male,Advanced,2,12,13,79,93,2,94,3,2,A,9,25,21,1,27,D
2424,90429,90430,18-30,Male,Advanced,3,20,8,75,18,33,82,2,3,A,8,3,12,6,28,D
2428,88016,88017,18-30,Male,Advanced,10,3,1,97,64,69,71,8,2,B,3,3,5,7,7,R
2431,90359,90360,18-30,Male,Advanced,15,10,15,1,35,22,7,4,2,B,8,26,18,11,3,D
2432,88185,88186,18-30,Male,Advanced,19,6,4,10,17,1,2,1,0,A,5,24,5,7,13,D
2434,12103,12104,18-30,Male,Advanced,10,5,4,40,67,51,48,5,4,C,1,12,17,0,6,D
2439,10106,10107,18-30,Male,Advanced,20,27,6,61,84,51,59,4,1,B,7,1,0,4,23,R
2448,1529,1530,18-30,Male,Advanced,4,22,15,71,1,61,63,2,0,C,13,20,22,15,18,D
2450,94714,94715,18-30,Male,Advanced,3,26,0,7,36,62,47,9,1,A,14,33,16,7,6,D
2455,7438,7439,18-30,Male,Advanced,4,1,9,70,62,7,71,7,0,C,17,30,2,5,5,R
2457,2259,2260,18-30,Male,Advanced,7,3,11,72,86,13,32,3,3,C,8,36,14,0,12,R
2462,92982,92983,18-30,Male,Advanced,7,6,7,75,58,19,98,7,3,A,1,25,18,11,4,R
2466,94711,94712,18-30,Male,Advanced,18,21,8,99,2,36,99,0,4,A,10,0,12,5,15,D
2470,10090,10091,18-30,Male,Advanced,3,4,18,48,51,27,63,9,4,C,13,36,12,18,15,D
2472,2729,2730,18-30,Male,Advanced,2,28,13,1,11,90,67,1,4,B,13,15,0,11,19,D
2474,10054,10055,18-30,Male,Advanced,0,30,6,77,81,90,83,2,2,C,15,6,15,17,4,D
2482,94884,94885,18-30,Male,Advanced,3,10,13,3,30,47,79,7,3,A,8,21,2,11,14,R
2488,2216,2217,18-30,Male,Advanced,9,1,8,74,45,58,31,1,2,C,13,29,18,8,3,R
2490,94790,94791,18-30,Male,Advanced,16,27,11,49,75,37,7,0,2,C,12,35,6,17,7,D
2499,12192,12193,18-30,Male,Advanced,14,13,9,23,48,38,76,3,0,B,6,20,23,0,24,R
2502,7483,7484,18-30,Male,Advanced,14,11,5,67,19,34,60,6,1,B,13,2,12,3,29,D
2514,90635,90636,18-30,Male,Advanced,7,26,3,67,12,77,88,2,4,A,1,25,1,17,28,D
2524,95433,95434,18-30,Male,Advanced,7,14,4,42,23,0,71,1,0,C,13,10,15,10,25,D
2548,9462,9463,18-30,Male,Advanced,11,18,2,93,51,60,46,3,0,A,13,34,3,7,16,D
2553,99523,99524,18-30,Male,Advanced,11,6,19,38,10,21,66,0,3,B,14,7,6,15,8,R
2557,4823,4824,18-30,Male,Advanced,13,29,17,24,56,56,13,0,0,B,18,16,13,16,28,D
2566,95480,95481,18-30,Male,Advanced,0,20,0,63,44,54,22,5,2,C,5,33,10,13,25,R
2567,87473,87474,18-30,Male,Advanced,15,1,17,38,52,25,41,2,2,A,13,30,6,15,8,R
2568,90653,90654,18-30,Male,Advanced,5,6,14,52,15,56,64,0,0,A,0,3,21,12,13,D
2577,7906,7907,18-30,Male,Advanced,3,7,18,39,88,9,27,9,1,A,11,16,23,15,7,R
2582,5117,5118,18-30,Male,Advanced,4,18,6,88,23,41,84,1,3,A,11,31,24,13,15,D
2584,95181,95182,18-30,Male,Advanced,18,13,3,46,88,54,90,3,3,B,16,2,4,13,17,R
2588,661,662,18-30,Male,Advanced,17,7,12,71,99,44,2,0,3,C,13,36,21,5,13,R
2590,95173,95174,18-30,Male,Advanced,20,10,17,3,78,5,21,8,1,A,17,26,9,9,5,R
2598,97242,97243,18-30,Male,Advanced,4,2,8,92,23,61,29,8,4,B,16,14,13,14,11,D
2601,87892,87893,18-30,Male,Advanced,12,12,17,42,100,57,57,3,1,C,9,1,14,13,9,R
2603,7669,7670,18-30,Male,Advanced,4,24,18,82,41,27,22,10,0,B,12,32,6,9,4,D
2611,5355,5356,18-30,Male,Advanced,0,11,5,24,59,24,9,0,3,C,18,24,4,13,28,R
2617,9742,9743,18-30,Male,Advanced,10,3,10,29,60,12,15,6,3,C,4,5,13,4,3,D
2619,87768,87769,18-30,Male,Advanced,6,27,1,77,41,13,40,9,3,C,0,13,21,20,24,R
2627,87739,87740,18-30,Male,Advanced,8,29,11,68,77,44,66,9,1,B,0,5,1,15,22,D
2628,90576,90577,18-30,Male,Advanced,19,21,4,76,32,1,21,3,3,A,16,29,0,13,26,D
2636,87748,87749,18-30,Male,Advanced,8,2,17,55,74,34,4,1,3,C,18,10,22,14,17,R
2638,645,646,18-30,Male,Advanced,20,12,4,60,16,95,74,0,4,C,5,5,14,12,22,D
2650,97737,97738,18-30,Male,Advanced,15,1,8,1,69,13,25,10,3,C,4,11,17,7,9,R
2656,449,450,18-30,Male,Advanced,6,16,4,76,26,6,23,1,1,C,13,27,1,14,25,R
2660,93351,93352,18-30,Male,Advanced,13,23,15,67,58,21,0,1,4,C,14,30,3,19,2,D
2666,6558,6559,18-30,Male,Advanced,11,21,17,26,26,57,19,7,4,B,5,18,6,6,28,R
2675,10506,10507,18-30,Male,Advanced,4,21,14,38,2,73,74,4,0,C,5,22,20,5,2,D
2677,1154,1155,18-30,Male,Advanced,12,11,2,9,52,3,42,5,1,A,2,6,11,9,0,D
2681,11081,11082,18-30,Male,Advanced,4,7,14,79,32,12,18,5,3,A,7,3,13,14,8,R
2684,2315,2316,18-30,Male,Advanced,6,19,15,15,90,18,84,5,2,A,3,4,21,9,21,R
2692,89068,89069,18-30,Male,Advanced,2,24,5,18,43,14,75,5,0,C,16,22,8,15,16,R
2694,7037,7038,18-30,Male,Advanced,10,14,8,43,13,80,92,8,4,C,13,9,19,10,19,R
2695,89063,89064,18-30,Male,Advanced,7,30,0,28,61,34,58,1,0,A,11,1,1,7,27,R
2697,94092,94093,18-30,Male,Advanced,18,14,16,80,96,37,3,5,1,B,12,4,22,6,16,R
2702,94091,94092,18-30,Male,Advanced,13,5,5,68,0,41,7,0,4,C,4,19,7,10,28,R
2709,1093,1094,18-30,Male,Advanced,8,24,3,84,34,89,57,8,1,B,12,0,13,20,28,R
2717,89043,89044,18-30,Male,Advanced,20,1,13,3,27,41,71,7,1,B,17,34,22,0,11,D
2731,89239,89240,18-30,Male,Advanced,11,23,19,1,70,72,63,7,3,B,8,36,6,4,30,R
2739,89403,89404,18-30,Male,Advanced,20,13,4,33,51,33,16,5,4,A,18,2,6,0,2,D
2744,10723,10724,18-30,Male,Advanced,19,0,0,61,55,93,99,8,2,A,1,23,3,12,11,R
2750,93485,93486,18-30,Male,Advanced,2,11,14,30,0,71,20,7,3,C,8,10,1,14,8,D
2765,10873,10874,18-30,Male,Advanced,13,12,14,3,13,92,17,6,3,C,13,21,15,19,23,R
2783,89645,89646,18-30,Male,Advanced,20,30,18,46,21,97,92,3,1,B,8,16,5,3,20,D
2789,2392,2393,18-30,Male,Advanced,6,27,4,83,57,24,19,8,3,A,9,19,12,18,21,D
2792,93762,93763,18-30,Male,Advanced,0,7,5,15,43,53,97,7,2,A,17,32,6,1,22,D
2816,7303,7304,18-30,Male,Advanced,19,24,14,98,79,16,63,3,3,A,12,14,22,16,17,D
2827,11753,11754,18-30,Male,Advanced,9,11,12,15,98,98,7,1,3,C,8,14,22,7,8,D
2837,10266,10267,18-30,Male,Advanced,16,25,5,62,94,18,23,8,2,B,18,29,16,0,22,D
2857,94659,94660,18-30,Male,Advanced,0,30,14,25,77,6,48,0,4,B,0,19,16,20,2,D
2866,88414,88415,18-30,Male,Advanced,19,17,17,21,6,30,69,6,2,A,5,8,9,0,29,R
2871,7360,7361,18-30,Male,Advanced,11,10,18,4,29,68,84,4,0,C,3,32,22,1,13,R
2874,2630,2631,18-30,Male,Advanced,15,16,11,3,93,39,21,5,2,C,18,22,11,14,24,D
2878,88381,88382,18-30,Male,Advanced,17,27,9,21,61,16,44,0,3,A,14,25,13,12,12,D
2879,94651,94652,18-30,Male,Advanced,2,13,5,59,48,93,4,8,3,B,5,2,9,0,26,D
2880,94661,94662,18-30,Male,Advanced,6,16,11,36,66,29,96,0,2,A,2,33,17,16,11,D
2881,1425,1426,18-30,Male,Advanced,11,16,6,74,22,69,30,8,1,A,2,3,17,3,14,R
2888,7160,7161,18-30,Male,Advanced,4,18,14,72,95,11,8,8,4,A,10,17,7,19,18,D
2895,93213,93214,18-30,Male,Advanced,10,13,13,39,63,37,94,0,1,B,12,30,5,3,1,D
2904,6378,6379,18-30,Male,Advanced,3,28,3,99,25,11,77,10,0,C,2,2,1,5,8,D
2911,11459,11460,18-30,Male,Advanced,12,26,8,22,9,21,40,9,2,A,1,24,7,19,25,D
2912,88809,88810,18-30,Male,Advanced,15,1,13,25,40,3,43,6,1,B,18,36,16,10,24,R
2918,97573,97574,18-30,Male,Advanced,19,14,2,32,92,94,29,6,2,B,14,18,3,19,16,D
2921,10315,10316,18-30,Male,Advanced,2,0,0,19,4,93,6,9,0,B,9,12,8,8,22,D
2927,89971,89972,18-30,Male,Advanced,19,13,18,84,58,35,65,6,4,B,0,36,6,2,8,R
2935,11697,11698,18-30,Male,Advanced,14,21,4,74,49,49,35,5,2,A,0,27,20,20,22,D
2948,89928,89929,18-30,Male,Advanced,16,18,13,97,88,19,75,7,3,C,2,34,21,16,19,D
2970,98027,98028,18-30,Male,Advanced,15,10,1,96,30,62,89,5,4,C,0,19,14,2,7,D
2975,90991,90992,18-30,Male,Advanced,15,17,10,18,34,68,25,1,1,A,17,0,14,0,15,D
2976,92033,92034,18-30,Male,Advanced,18,21,3,32,71,75,2,0,4,C,18,19,6,11,16,R
2980,8196,8197,18-30,Male,Advanced,19,23,0,83,82,7,44,3,2,B,6,9,13,16,28,R
2993,4261,4262,18-30,Male,Advanced,1,19,8,34,85,13,84,7,4,B,18,4,10,16,10,R
2995,4263,4264,18-30,Male,Advanced,2,2,18,79,2,67,67,10,3,B,9,33,22,3,3,R
3008,13732,13733,18-30,Male,Advanced,5,29,18,65,52,58,49,8,1,B,5,32,0,16,14,D
3024,96651,96652,18-30,Male,Advanced,12,21,12,9,89,94,65,2,2,C,15,9,14,6,7,R
3031,98077,98078,18-30,Male,Advanced,5,10,7,33,52,4,80,1,4,A,11,27,12,0,1,D
3035,3125,3126,18-30,Male,Advanced,7,12,11,37,8,92,71,8,2,A,8,33,4,6,10,R
3037,1928,1929,18-30,Male,Advanced,8,4,7,90,65,60,97,5,1,C,8,5,3,16,27,D
3041,86938,86939,18-30,Male,Advanced,10,13,15,68,48,43,88,7,4,C,16,0,13,8,30,D
3042,86839,86840,18-30,Male,Advanced,7,10,11,8,0,73,93,8,0,B,13,18,21,19,7,D
3053,86898,86899,18-30,Male,Advanced,16,27,19,97,84,16,76,4,4,A,14,29,6,10,16,D
3059,96624,96625,18-30,Male,Advanced,16,16,12,99,56,32,70,4,0,C,2,9,22,18,13,D
3067,91890,91891,18-30,Male,Advanced,3,23,2,76,20,79,2,0,2,B,16,5,23,10,28,D
3071,3934,3935,18-30,Male,Advanced,4,14,12,74,6,87,98,10,4,C,9,4,3,9,29,R
3078,8945,8946,18-30,Male,Advanced,14,24,16,63,82,64,37,4,4,C,6,24,19,4,22,R
3086,14025,14026,18-30,Male,Advanced,2,14,1,83,18,48,57,5,3,B,2,20,10,0,14,D
3088,8402,8403,18-30,Male,Advanced,12,27,3,13,29,56,6,7,2,A,9,18,21,11,9,R
3096,14159,14160,18-30,Male,Advanced,16,0,10,13,54,96,47,2,3,B,18,28,12,15,2,R
3110,8364,8365,18-30,Male,Advanced,11,30,18,33,51,50,84,5,3,A,0,24,0,10,29,D
3111,14054,14055,18-30,Male,Advanced,9,7,8,45,83,42,91,0,1,B,17,10,22,12,26,R
3132,8802,8803,18-30,Male,Advanced,19,14,3,94,46,38,100,0,0,B,18,27,18,4,0,D
3134,3241,3242,18-30,Male,Advanced,8,18,5,72,54,95,35,1,4,C,3,26,21,17,10,D
3138,4209,4210,18-30,Male,Advanced,4,23,9,96,33,14,3,0,3,B,10,30,14,14,2,D
3143,96945,96946,18-30,Male,Advanced,10,9,14,97,66,14,64,9,2,A,6,26,12,2,14,R
3145,91854,91855,18-30,Male,Advanced,5,30,16,32,38,96,87,2,1,C,14,16,0,9,2,D
3149,86447,86448,18-30,Male,Advanced,7,13,8,5,26,27,70,8,0,A,1,11,11,5,29,D
3160,13948,13949,18-30,Male,Advanced,18,11,16,78,77,24,12,10,0,A,2,6,7,8,19,D
